item_id,name,category,price,other_colors,short_description,frame_quality_type,strength,flexibility,usability_status
90420332,FREKVENS,Bar furniture,265,No,"        Bar table, in/outdoor,          51x51 cm",,99,51,TRUE
368814,NORDVIKEN,Bar furniture,995,No,"        Bar table,          140x80 cm",,105,80,FALSE
9333523,NORDVIKEN / NORDVIKEN,Bar furniture,2095,No,Bar table and 4 bar stools,,,,FALSE
80155205,STIG,Bar furniture,69,Yes,"        Bar stool with backrest,          74 cm",50,100,60,TRUE
30180504,NORBERG,Bar furniture,225,No,"        Wall-mounted drop-leaf table,          74x60 cm",60,43,74,TRUE
10122647,INGOLF,Bar furniture,345,No,"        Bar stool with backrest,          63 cm",45,91,40,TRUE
70404875,FRANKLIN,Bar furniture,129,No,"        Bar stool with backrest, foldable,          63 cm",44,95,50,TRUE
60155602,DALFRED,Bar furniture,195,No,"        Bar stool,          63-74 cm",50,,50,TRUE
50406465,FRANKLIN,Bar furniture,129,No,"        Bar stool with backrest, foldable,          63 cm",44,95,50,TRUE
69304221,EKEDALEN / EKEDALEN,Bar furniture,2176,No,Bar table and 4 bar stools,,,,TRUE
90404879,FRANKLIN,Bar furniture,149,No,"        Bar stool with backrest, foldable,          74 cm",44,103,52,TRUE
121766,INGOLF,Bar furniture,395,No,"        Bar stool with backrest,          74 cm",45,102,40,TRUE
397736,NORRARYD,Bar furniture,395,No,"        Bar stool with backrest,          74 cm",47,103,46,TRUE
50420329,FREKVENS,Bar furniture,177,No,"        Bar stool with backrest, in/outdoor,          74 cm",53,104,43,TRUE
400550,EKEDALEN,Bar furniture,345,No,"        Bar stool with backrest,          75 cm",52,114,43,TRUE
29304826,TOMMARYD,Bar furniture,695,No,"        Table,          130x70/105 cm",,105,70,TRUE
40426138,HENRIKSDAL,Bar furniture,395,No,"        Bar stool with backrest frame,          74 cm",51,102,40,TRUE
50363649,KULLABERG,Bar furniture,140,Yes,Stool,36,,36,TRUE
70246089,JANINGE,Bar furniture,595,No,"        Bar stool,          76 cm",36,84,38,TRUE
60406785,FRANKLIN,Bar furniture,149,No,"        Bar stool with backrest, foldable,          74 cm",44,103,52,TRUE
340759,EKEDALEN,Bar furniture,995,No,"        Bar table,          120x80 cm",,105,80,TRUE
30352246,RÅSKOG,Bar furniture,175,No,"        Bar stool,          63 cm",44,63,44,TRUE
10281354,JANINGE,Bar furniture,595,No,"        Bar stool,          76 cm",36,84,38,TRUE
90400517,EKEDALEN,Bar furniture,796,No,"        Bar table,          120x80 cm",,105,80,TRUE
400545,EKEDALEN,Bar furniture,345,No,"        Bar stool with backrest,          75 cm",51,114,43,TRUE
10400540,EKEDALEN,Bar furniture,345,No,"        Bar stool with backrest,          75 cm",52,114,43,TRUE
40400529,EKEDALEN,Bar furniture,796,No,"        Bar table,          120x80 cm",,105,80,TRUE
90319918,HENRIKSDAL,Bar furniture,695,No,"        Bar stool with backrest,          74 cm",51,102,40,TRUE
29297227,STENSELE / NORRARYD,Bar furniture,1340,No,Bar table and 2 bar stools,,,,TRUE
99323925,STENSELE,Bar furniture,550,No,"        Bar table,          70x70 cm",,104,70,TRUE
40339004,NORRÅKER,Bar furniture,595,Yes,"        Bar table,          74x74 cm",,102,74,TRUE
39184324,HENRIKSDAL,Bar furniture,435,No,"        Bar stool with backrest,          74 cm",51,102,40,TRUE
19297275,NORRÅKER / NORRÅKER,Bar furniture,1266,No,"        Bar table and 2 bar stools,          74 cm",,,,TRUE
60400745,YNGVAR,Bar furniture,475,No,"        Bar stool,          75 cm",40,,40,TRUE
20336619,HENRIKSDAL,Bar furniture,40,No,Cover for bar stool with backrest,,,,TRUE
20429010,NORRÅKER,Bar furniture,395,Yes,"        Bar stool with backrest,          74 cm",48,100,42,TRUE
80369112,NORDVIKEN,Bar furniture,275,No,"        Bar stool with backrest,          75 cm",47,101,40,FALSE
89280380,NORRÅKER / NORRARYD,Bar furniture,1385,No,"        Bar table and 2 bar stools,          74 cm",,104,74,TRUE
29304223,EKEDALEN / EKEDALEN,Bar furniture,2375,No,"        Bar table and 4 bar stools,          120 cm",,,,TRUE
49304217,EKEDALEN / EKEDALEN,Bar furniture,2176,No,"        Bar table and 4 bar stools,          120 cm",,,,TRUE
272656,BERNHARD,Bar furniture,745,No,"        Bar stool with backrest,          66 cm",50,90,48,TRUE
79241940,NORRÅKER / NORRÅKER,Bar furniture,1385,No,"        Bar table and 2 bar stools,          74 cm",,104,74,TRUE
89297272,NORRÅKER / NORRARYD,Bar furniture,1266,No,"        Bar table and 2 bar stools,          74 cm",,,,TRUE
9288224,STENSELE,Bar furniture,550,No,"        Bar table,          70 cm",,105,,TRUE
30135658,GLENN,Bar furniture,445,Yes,"        Bar stool,          77 cm",52,100,50,TRUE
49297274,NORRÅKER / NORRÅKER,Bar furniture,1266,No,"        Bar table and 2 bar stools,          74 cm",,,,TRUE
30308395,RÅSKOG,Bar furniture,175,No,"        Bar stool,          63 cm",44,63,44,TRUE
29123958,MINNEN,Beds,395,No,"        Ext bed frame with slatted bed base,          80x200 cm",,,85,TRUE
49278341,BRIMNES,Beds,895,No,"        Bed frame w storage and headboard,          90x200 cm",54,110,96,TRUE
50461230,SMÅGÖRA,Beds,595,No,"        Cot,          60x120 cm",,79,66,TRUE
89326463,PLATSA,Beds,2111,No,"        Bed frame with 4 drawers,          140x244x163 cm",40,43,140,TRUE
50468953,VATTVIKEN,Beds,995,No,Armchair-bed,83,86,92,TRUE
69326609,SLÄKT,Beds,540,No,"        Ext bed frame with slatted bed base,          80x200 cm",,,91,FALSE
59099136,BRIMNES,Beds,795,Yes,"        Bed frame w storage and headboard,          140x200 cm",,111,146,TRUE
40395245,NEIDEN,Beds,99,No,"        Bed frame,          90x200 cm",,,94,TRUE
69277307,LEIRVIK,Beds,1195,Yes,"        Bed frame,          180x200 cm",,,188,TRUE
